0,1,2,3,4,5,6,7,8
https://twitter.com/RossiSuhanda/status/1242239151476359169,2020-03-23 23:57:48+00:00,"Kumpul bareng keluarga, bukber, bagi nagi takjil, ngabuburit, idul fitri, takbiran dimesjid lagi bareng bareng, umroh, haji. Maasyaalloh, aamiin. Semoga covid-19 ini cepet berakhir dan Alloh lenyapkan dari bumi ini. Aamiin💖",1242239151476359169,RossiSuhanda,[],,[],
https://twitter.com/cerapzz/status/1242239117074677760,2020-03-23 23:57:39+00:00,Masa-masa RMO ni la banyak salah faham yang berlaku. Harap-harap cepatlah hilang covid-19 ni. I want to meet her and set things right back with her. I miss her. 😭,1242239117074677760,cerapzz,[],,[],
https://twitter.com/masmugen/status/1242239117007544321,2020-03-23 23:57:39+00:00,"Punya ibu yang bekerja sebagai tenaga kesehatan mempunyai rasa bangga dan khawatir secara bersamaan. Adanya pandemic COVID 19 ini, sebagai anak gue bangga klo ibu gue terlibat langsung dalam menangani kondisi pasien, walaupun tdk scara fisik bertemu pasien covid 19.",1242239117007544321,masmugen,[],,[],
https://twitter.com/sintanursyela1/status/1242239091774615552,2020-03-23 23:57:33+00:00,Benci corona level dewa,1242239091774615552,sintanursyela1,[],,[],
https://twitter.com/nnyenyenyeee/status/1242239072124276738,2020-03-23 23:57:29+00:00,"Baca berita tentang corona, auto tenggorokan gatel.
Baca lagi, badan auto meriang pdahal suhu tubuh normal dan ga lagi kenapa².
Baca lagi, kepala juga auto pusing.

Oke, ini yg dinamain psikosomatik. Keep calm🤗",1242239072124276738,nnyenyenyeee,[],,[],
https://twitter.com/jeonostrils/status/1242239068122918912,2020-03-23 23:57:28+00:00,"salah 1 komut bumn aja nutup2in pernah kontak sama jenazah yg positif covid dan tetep masuk kerja selama 4 hari. Kemungkinan bawahannya terpapar selama 4 hari dan doi baru bilang setelah itu baru mulai wfh.

sekelas komut. tapi goblok.",1242239068122918912,jeonostrils,[],,[],
https://twitter.com/natalegawa_7/status/1242239028130279424,2020-03-23 23:57:18+00:00,"Sosmed memang racun, bikin khawatir orang mengenai Corona. Benar. 

Tapi sebaran informasi lebih cepat  itu dari sosmed. Kita ngga dapat kepastian ya pasti akan waspada dan mencari informasi sebanyak-banyaknya. 

Soalnya di TV menkesnya cengar cengir, rupiah lagi, onsu lagi..",1242239028130279424,natalegawa_7,[],,[],
https://twitter.com/thelksiope/status/1242239013592809472,2020-03-23 23:57:15+00:00,Virus corona meningkatkan derajat kaum rebahan,1242239013592809472,thelksiope,[],,[],
https://twitter.com/MbahHadi2/status/1242239011894087680,2020-03-23 23:57:14+00:00,"Yuk kita tanamkan di hati &amp; pikiran kita

Azamkan di hati kita masing-masing, 
yakini yakini yakini Bismillah Biidznillah dgn izin Allah virus Covid-19 pergi &amp; menghilang selamanya ketika bulan Ramadhan tiba, aamiiin aamiin aamiin Allahumma amin ya rabbal a'lamin ya mujibassailin",1242239011894087680,MbahHadi2,[],,[],
https://twitter.com/LuturmasWidia/status/1242238989894967296,2020-03-23 23:57:09+00:00,"Ketika virus corona mewabah, maka harus ikhlas, dan tabah, tambah dekat dengan Allah, dan menjalankan seluruh syariah dengan kaffah.
 &gt;&gt; #MalapetakaRuntuhnyaKhilafah &lt;&lt;
 #TergagapCorona - #RajabanBersamaKhilafah
#BCQF

@keripikpedas_id",1242238989894967296,LuturmasWidia,[],,[],
https://twitter.com/stormblessd_/status/1242238977760833536,2020-03-23 23:57:06+00:00,di masa self quarantine corona gini jam tidur w nambah dr 6 jam jadi 7-8 jam,1242238977760833536,stormblessd_,[],,[],
https://twitter.com/jukaart/status/1242238900011175936,2020-03-23 23:56:48+00:00,EU TO PASSAMDO MAL KFJFJDKDKKDOSIDJSKDJDISISKDKKWKSIEKDIIEKWKFJSJSB MANO CATEGORIA CORONA VAIRUS,1242238900011175936,jukaart,[],,[],
https://twitter.com/AlbertSolo2/status/1242238883296731137,2020-03-23 23:56:44+00:00,Presiden Trump menyatakan negara dalam keadaan darurat Virus Corona setelah dua negara bagian yaitu negara bagian California dan negara bagian new York sudah di nyatakan sebagai daerah pendemi virus Corona atau Covid-19 oleh kementerian kesehatan Amerika serikat,1242238883296731137,AlbertSolo2,[],,[],
https://twitter.com/cyumskie/status/1242238857279496192,2020-03-23 23:56:37+00:00,"kesel bgt ah ama corona, pundung aku pundung 😡",1242238857279496192,cyumskie,[],,[],
https://twitter.com/Nafay90/status/1242238834865127424,2020-03-23 23:56:32+00:00,Klo bukan corona gw traveling nih 😂,1242238834865127424,Nafay90,[],,[],
https://twitter.com/dinierikaaa/status/1242238834705760256,2020-03-23 23:56:32+00:00,"Gak bisa nih harus social media distancing dulu keknya, baca berita covid malah meriang baca lagi gatel tenggorokan. Lemah akutu gabisa ngendaliin kecemasan :(",1242238834705760256,dinierikaaa,[],,[],
https://twitter.com/hanafinatadirza/status/1242238812706598912,2020-03-23 23:56:27+00:00,Masa corona adalah kesempatan buat kamu yg mau nikah tapi pengen akad aja ~,1242238812706598912,hanafinatadirza,[],,[],
https://twitter.com/nenganingg/status/1242238812706582530,2020-03-23 23:56:27+00:00,"Mari mohon ampun semua kepada Allah, atas datangnya wabah Corona ini. Muhasabah diri bareng2 T.T
 &gt;&gt; #MalapetakaRuntuhnyaKhilafah &lt;&lt;
 #Remember1924 . #RajabanBersamaKhilafah
#ZSFS

@pertinyiinnyi",1242238812706582530,nenganingg,[],,[],
https://twitter.com/wahyu_joker/status/1242238800513794048,2020-03-23 23:56:24+00:00,Omnibus law bersembunyi di balik.  Corona,1242238800513794048,wahyu_joker,[],,[],
https://twitter.com/marliahimss/status/1242238782209810432,2020-03-23 23:56:20+00:00,"Ga mau macem2 dulu sekarang mah ya allah, cuma mau corona hilang dari dunia ini secepatnya udah itu aja 😭",1242238782209810432,marliahimss,[],,[],
https://twitter.com/Inang192/status/1242238747954958336,2020-03-23 23:56:11+00:00,"........ 
Ratusan triliun dikeluarkan utk memilih pemimpin negeri ini, hasilnya sangat mengecewakan, hanya utk mencegah mewabahnya virus corona saja tdk mampu. Kami rindu khalifah yg melindungi umat manusia 
#KhilafahTetapDiHati
#NusantaraBagianDariKhilafah
#KhilafahdiNusantara",1242238747954958336,Inang192,[],,[],
https://twitter.com/Kayye34/status/1242238667936002049,2020-03-23 23:55:52+00:00,"He lu anak anak anjing, dengerin gua ye. Virus corona udah sampe indonesia anjing. Gua jadi ngeri anjing. Mending lu pada tobat dah",1242238667936002049,Kayye34,[],,[],
https://twitter.com/ykpragustin/status/1242238610973151232,2020-03-23 23:55:39+00:00,"Sudah beberapa pagi selalu dikejutkan dengan berita-berita update covid-19. Yaallah, sedih dan lelah sekali rasanya.",1242238610973151232,ykpragustin,[],,[],
https://twitter.com/veraselpia26/status/1242238584158949376,2020-03-23 23:55:32+00:00,"wabah corona mengingatkan kebijakan khalifah Umar bin khatab saat wabah tho'un melanda dan terungkapnya hadist untuk lockdown. Bukti syariat hadir untuk menyelamatkan umat manusia
 &gt;&gt; #MalapetakaRuntuhnyaKhilafah &lt;&lt;
 #Remember1924 - #RajabanBersamaKhilafah
#ZQZE",1242238584158949376,veraselpia26,[],,[],
