word,score,sentiment
pemeliharaan,4,pos
pemenang,4,pos
pemerasan,-4,neg
pemerkosa,-5,neg
pemisahan,-1,neg
pemogokan,-3,neg
pemukulan,-4,neg
pemula,-1,neg
pemuliaan,3,pos
pemusnahan,-3,neg
penanggung,-1,neg
penawaran,-1,neg
pencabutan,-2,neg
pencemooh,-4,neg
pencinta,4,pos
pencuri,-4,neg
pencurian,-4,neg
pendek,-4,neg
penderita,-3,neg
penderitaan,-4,neg
pendiri,3,pos
pendukung,3,pos
pendusta,-4,neg
penebus,3,pos
penetralan,3,pos
pengacau,-4,neg
pengangguran,-4,neg
penganiayaan,-4,neg
pengap,-3,neg
pengasingan,-3,neg
pengawasan,-2,neg
pengecualian,-1,neg
pengecut,-4,neg
pengembara,2,pos
pengemis,-4,neg
pengepungan,-3,neg
penggantian,-1,neg
penggelapan,-4,neg
penggugat,-3,neg
penghalang,-3,neg
penghargaan,4,pos
penghidupan,4,pos
penghinaan,-4,neg
pengisap,-2,neg
pengkhianat,-4,neg
pengkhianatan,-4,neg
pengotor,-3,neg
pengunduran,-3,neg
pengungsi,-2,neg
penindasan,-4,neg
penipu,-5,neg
penipuan,-4,neg
penjahat,-4,neg
penjara,-4,neg
penolakan,-4,neg
pensiun,-1,neg
penting,3,pos
penuh,3,pos
penyakit,-4,neg
penyalahgunaan,-4,neg
penyembah,-1,neg
penyerangan,-4,neg
penyesalan,2,pos
penyihir,-4,neg
penyiksaan,-4,neg
penyitaan,-4,neg
penyok,-4,neg
penyusutan,-3,neg
peperangan,-4,neg
perampok,-4,neg
perang,-4,neg
perangkap,-4,neg
perbesaran,-1,neg
perbudakan,-4,neg
percaya,4,pos
perceraian,-4,neg
percuma,-4,neg
perdamaian,5,pos
perfeksionis,-2,neg
pergolakan,-3,neg
perhatian,3,pos
perih,-4,neg
perintah,-2,neg
perjuangan,4,pos
perkara,-2,neg
perkelahian,-4,neg
perkosaan,-4,neg
permusuhan,-4,neg
persaingan,-2,neg
perselisihan,-4,neg
perseteruan,-4,neg
pertempuran,-3,neg
pertengkaran,-4,neg
pertunangan,4,pos
perubahan,4,pos
perusak,-4,neg
perzinahan,-5,neg
pesat,3,pos
pesimis,-4,neg
pesona,4,pos
petcah,5,pos
picik,-4,neg
pidana,-3,neg
pikun,-3,neg
pincang,-3,neg
pingsan,-2,neg
pintar,4,pos
pionir,3,pos
pisau,-1,neg
popularitas,-1,neg
populer,4,pos
positif,4,pos
potong,-1,neg
prahara,-4,neg
prestasi,2,pos
produktif,4,pos
propaganda,-3,neg
proporsional,4,pos
protes,-2,neg
provokasi,-4,neg
puas,3,pos
pujian,4,pos
pukulan,-4,neg
punah,-4,neg
pura-pura,-4,neg
pusing,-3,neg
racun,-4,neg
radang,-3,neg
radian,-1,neg
radikal,-4,neg
ragu-ragu,-3,neg
rahasia,-1,neg
rahmat,4,pos
rakasa,-2,neg
ramah,4,pos
rapi,4,pos
rapuh,-4,neg
rasis,-4,neg
ratapan,-4,neg
reaktif,-2,neg
redup,-2,neg
regangan,-1,neg
remeh,-3,neg
rendah,-2,neg
rengekan,-3,neg
rentan,-3,neg
repot,-2,neg
repot-repot,-2,neg
reruntuhan,-2,neg
resah,-2,neg
resmi,4,pos
revolusi,3,pos
rewel,-2,neg
riang,4,pos
rindu,4,pos
risiko,-3,neg
riuh,-3,neg
robek,-4,neg
roboh,-4,neg
romantis,4,pos
ruam,-3,neg
rugi,-4,neg
rumit,-3,neg
rumor,-3,neg
runtuh,-3,neg
rusak,-4,neg
rusuh,-4,neg
sabar,4,pos
sabotase,-4,neg
saham,3,pos
saingan,-2,neg
sakit,-4,neg
sakit-sakitan,-5,neg
salah,-4,neg
salut,4,pos
samar,-2,neg
samar-samar,-2,neg
sampah,-4,neg
santai,3,pos
saraf,1,pos
sayang,4,pos
sayangnya,-2,neg
sebaiknya,-2,neg
sebaliknya,-1,neg
sebenarnya,3,pos
sebodoh,-4,neg
sederhana,4,pos
sedih,-3,neg
sedu-sedan,-4,neg
seenaknya,-4,neg
sehat,4,pos
sehebat,4,pos
sejujurnya,3,pos
sekarat,-4,neg
sekeren,4,pos
sekilas,-1,neg
seksi,1,pos
selamat,4,pos
semangat,4,pos
sembrono,-4,neg
sementara,-1,neg
sempurna,5,pos
senang,4,pos
sendirian,-2,neg
sengatan,-2,neg
sengit,-3,neg
sengketa,-4,neg
senjata,-3,neg
sensasi,-2,neg
sensitif,-2,neg
sentimental,-2,neg
senyum,4,pos
sepele,-3,neg
seperti,1,pos
sepintas,-2,neg
seram,-4,neg
serampangan,-3,neg
serangan,-4,neg
serasi,4,pos
serem,-4,neg
seringai,-2,neg
serius,4,pos
seru,4,pos
sesat,-4,neg
sesuai,3,pos
sesumbar,-4,neg
setan,-4,neg
setia,5,pos
setuju,4,pos
sewenang-wenang,-4,neg
sexy,3,pos
sia-sia,-4,neg
sialan,-5,neg
siap,4,pos
sibuk,1,pos
sigap,4,pos
sihir,-4,neg
sikap,1,pos
siksaan,-4,neg
silakan,3,pos
silau,-2,neg
siluman,-2,neg
simpan,1,pos
simpati,4,pos
sindir,-4,neg
singkat,1,pos
sinis,-4,neg
sinting,-4,neg
sipit,-4,neg
sirik,-4,neg
skandal,-4,neg
skors,-3,neg
sok,-4,neg
sombong,-4,neg
sopan,4,pos
spam,-4,neg
spektakuler,4,pos
spesial,3,pos
stabil,4,pos
statis,-2,neg
stres,-3,neg
stress,-4,neg
suka,4,pos
sukacita,5,pos
sukai,3,pos
sukses,4,pos
sulit,-2,neg
sumbang,-2,neg
sumpah,2,pos
sunyi,-1,neg
supel,4,pos
super,4,pos
suram,-4,neg
surga,5,pos
surut,-3,neg
susah,-3,neg
suspensi,1,pos
syirik,-4,neg
syok,-3,neg
taat,4,pos
tabrakan,-2,neg
tabu,-4,neg
tai,-5,neg
takhayul,-4,neg
takut,-3,neg
tandus,-5,neg
tangguh,5,pos
tanggungjawab,4,pos
tantangan,4,pos
tarif,-2,neg
tawanan,-3,neg
tawaran,3,pos
tawuran,-4,neg
teduh,4,pos
tega,-4,neg
tegang,-2,neg
tegas,4,pos
teguh,4,pos
tekanan,-2,neg
telat,-3,neg
tembakan,-3,neg
tempa,3,pos
tempur,-3,neg
tenang,4,pos
tenggang,1,pos
tenggelam,-3,neg
tengik,-5,neg
tentu,1,pos
teramati,2,pos
terampil,4,pos
terang-benderang,4,pos
terang-terangan,4,pos
terasing,-4,neg
teratur,4,pos
terbahak-bahak,-3,neg
terbaik,4,pos
terbalik,-2,neg
terbata-bata,-2,neg
terbelah,-2,neg
terbiasa,-1,neg
terburuk,-4,neg
tercekik,-3,neg
tercela,-4,neg
tercerah,5,pos
tercinta,5,pos
terdakwa,-4,neg
terdepresiasi,-4,neg
terfavorit,4,pos
tergantung,-1,neg
terhadap,-1,neg
terhenti,-2,neg
terhormat,4,pos
teriak,-2,neg
terindah,4,pos
terisak,-2,neg
terisak-isak,-2,neg
terjaga,2,pos
terjamin,3,pos
terjawab,4,pos
terkatakan,-1,neg
terkekek-kekek,-2,neg
terkenal,4,pos
terkendali,4,pos
terkesan,4,pos
terkubur,-2,neg
terkulai,-2,neg
terkutuk,-5,neg
terlambat,-4,neg
terlatih,4,pos
terlepas,-3,neg
terletak,1,pos
terlihat,1,pos
terlindungi,4,pos
termotivasi,3,pos
ternilai,3,pos
terobsesi,-2,neg
teror,-4,neg
teroris,-4,neg
terpaku,-2,neg
terpencil,-2,neg
terperanjat,-2,neg
tersedak,-2,neg
tersedu-sedu,-3,neg
terselubung,-2,neg
tersembuhkan,3,pos
tersentak,-2,neg
tersenyum,4,pos
terserah,-3,neg
terserang,-3,neg
tertahankan,-1,neg
tertarik,4,pos
tertawa,4,pos
tertegun,-1,neg
tertekan,-4,neg
tertunduk,-1,neg
tertutup,-4,neg
tiba-tiba,-1,neg
tinggi,2,pos
tinju,-1,neg
tipis,-1,neg
tipu,-4,neg
tipuan,-4,neg
toleran,4,pos
toleransi,4,pos
tolol,-5,neg
tombak,-1,neg
top,4,pos
totalitas,4,pos
tragedi,-4,neg
tragis,-4,neg
trauma,-4,neg
tua,-4,neg
tuduhan,-4,neg
tuh,-2,neg
tuli,-2,neg
tulus,5,pos
tumpahan,-3,neg
tumpul,-2,neg
tunduk,-2,neg
tunggakan,-2,neg
turun,-4,neg
tusukan,-2,neg
udik,-5,neg
ultimatum,-1,neg
umpan,-2,neg
unggul,4,pos
unik,5,pos
usang,-4,neg
usil,-3,neg
usir,-4,neg
valid,4,pos
vulgar,-4,neg
wabah,-4,neg
waduh,-3,neg
wah,4,pos
wajar,3,pos
wakil,3,pos
waktunya,1,pos
waria,-4,neg
waspada,4,pos
waspadalah,3,pos
wow,4,pos
wtf,-4,neg
yatim,-1,neg
yeah,3,pos
zina,-5,neg
