word,score,sentiment
ditendang,-4,neg
ditindas,-4,neg
ditunggu,-1,neg
diva,4,pos
doakan,2,pos
doang,-2,neg
doank,-3,neg
dodol,-4,neg
dogmatis,-3,neg
dominasi,-1,neg
dosa,-4,neg
drama,-2,neg
duh,-4,neg
dukung,3,pos
dukungan,4,pos
dungu,-4,neg
duniawi,-3,neg
dusta,-4,neg
egois,-3,neg
ekonomis,3,pos
eksentrik,-1,neg
eksis,1,pos
elegan,4,pos
eliminasi,-2,neg
emas,4,pos
emosi,-3,neg
emosional,-4,neg
enak,4,pos
eneg,-4,neg
enerjik,4,pos
enggan,-4,neg
epidemi,-3,neg
erosi,-3,neg
fanatik,-4,neg
fantastis,4,pos
fasis,-4,neg
firasat,-1,neg
fitnah,-4,neg
gagal,-5,neg
gagalnya,-3,neg
gagap,-2,neg
gaib,-1,neg
gairah,-1,neg
ganas,-3,neg
ganggu,-4,neg
gangguan,-4,neg
ganteng,4,pos
gedebuk,-2,neg
gejala,-2,neg
gejolak,-2,neg
gelandangan,-3,neg
gelap,-2,neg
gelisah,-4,neg
gemar,4,pos
gembira,4,pos
gembor,-4,neg
gemes,3,pos
gemetar,-3,neg
gemetaran,-3,neg
gempar,-3,neg
gencarnya,-2,neg
genting,-3,neg
gerah,-4,neg
geram,-4,neg
gerilya,3,pos
gerombolan,-3,neg
gesit,3,pos
getah,-2,neg
gila,5,pos
glamor,-4,neg
glori,3,pos
godaan,-3,neg
gosip,-4,neg
goyah,-3,neg
grogi,-3,neg
gugatan,-3,neg
gunanya,3,pos
gurun,-2,neg
hadiah,3,pos
haha,2,pos
halangan,-3,neg
halus,3,pos
hama,-4,neg
hambar,-3,neg
hancur,-4,neg
hangat,3,pos
hangus,-3,neg
haram,-5,neg
harapan,4,pos
harmoni,5,pos
harmonik,5,pos
harmonisasi,5,pos
harumkan,4,pos
hati-hati,4,pos
haus,-2,neg
hebat,3,pos
heboh,2,pos
hehe,1,pos
hero,4,pos
hey,2,pos
hikmat,3,pos
hiks,-3,neg
hilang,-3,neg
hina,-4,neg
hinaan,-4,neg
hiruk,-2,neg
histeria,-2,neg
histeris,-3,neg
hiu,-1,neg
hoho,-1,neg
homo,-2,neg
hore,4,pos
hormat,4,pos
hujat,-4,neg
humor,4,pos
ibadah,5,pos
iblis,-5,neg
idiot,-5,neg
idolaku,4,pos
ilegal,-4,neg
ilegalitas,-3,neg
imajinatif,4,pos
iman,5,pos
impersonal,3,pos
impian,4,pos
impulsif,-3,neg
imut,4,pos
indah,4,pos
indahnya,4,pos
inefisiensi,-4,neg
inflasi,-4,neg
ingus,-3,neg
inkonsisten,-4,neg
insentif,4,pos
inspirasiku,4,pos
inspirator,3,pos
intelek,4,pos
intoleran,-4,neg
intrusi,-4,neg
irasional,-4,neg
iri,-4,neg
ironi,-2,neg
ironis,-2,neg
jahat,-4,neg
jalang,-5,neg
jaminan,3,pos
jarang,-1,neg
jatuh,-3,neg
jauh,-2,neg
jeblok,-4,neg
jeda,-1,neg
jelas,4,pos
jelek,-4,neg
jengkel,-4,neg
jenis,1,pos
jera,-2,neg
jeritan,-2,neg
jijik,-4,neg
jinak,2,pos
jongos,-5,neg
jujur,4,pos
julukan,-2,neg
jurang,-3,neg
kabur,-4,neg
kacau,-4,neg
kacung,-4,neg
kagum,4,pos
kagumi,4,pos
kaku,-2,neg
kalah,-4,neg
kalap,-4,neg
kambuh,-3,neg
kampungan,-5,neg
kangen,4,pos
kanibal,-4,neg
kanker,-4,neg
kasar,-3,neg
kasihan,-1,neg
kawin,-3,neg
kaya,3,pos
keanehan,-2,neg
keangkuhan,-4,neg
kebahagiaan,3,pos
kebaikan,4,pos
kebajikan,4,pos
kebal,3,pos
kebangetan,-3,neg
kebanggaan,4,pos
kebanting,-3,neg
kebenaran,4,pos
kebencian,-4,neg
keberanian,4,pos
keberatan,-3,neg
keberhasilan,4,pos
kebersamaan,4,pos
kebingungan,-4,neg
kebisingan,-3,neg
kebo,-4,neg
kebocoran,-3,neg
kebodohan,-3,neg
kebuntuan,-3,neg
keburukan,-4,neg
kecaman,-4,neg
kecelakaan,-4,neg
kecewa,-3,neg
kecil,-1,neg
kecurigaan,-3,neg
kedengkian,-4,neg
kedok,-4,neg
kedutan,-1,neg
keengganan,-3,neg
kegagalan,-4,neg
kegelapan,-2,neg
kegelisahan,-4,neg
kegembiraan,4,pos
kegemukan,-4,neg
kegilaan,-4,neg
kegoyangan,-3,neg
kehancuran,-4,neg
kehilangan,-3,neg
kehinaan,-4,neg
keindahan,4,pos
kejahatan,-4,neg
kejam,-4,neg
kejang,-3,neg
kejatuhan,-2,neg
keji,-5,neg
kejujuran,4,pos
kejutan,3,pos
kek,-2,neg
kekacauan,-4,neg
kekakuan,-2,neg
kekanak-kanakan,-3,neg
kekasih,5,pos
kekayaan,3,pos
kekecewaan,-4,neg
kekejaman,-4,neg
kekeliruan,-3,neg
kekerasan,-3,neg
kekeringan,-4,neg
kekhawatiran,-3,neg
kekosongan,-2,neg
kekuatan,3,pos
kekurangan,-3,neg
kelalaian,-4,neg
kelambanan,-4,neg
