,emot,score,sentiment
364,(^ ^),4,pos
365,(^-^),4,pos
366,(^.^),4,pos
367,(^_^),4,pos
368,(o:,3,pos
369,(o;,3,pos
370,")"":",-5,neg
371,)-:,-3,neg
372,):,-3,neg
373,*_*,-2,neg
374,*___*,-3,neg
375,--,-3,neg
376,"--""",-4,neg
377,0:),3,pos
378,":""(",-5,neg
379,:#,-2,neg
380,:'(,-3,neg
381,:'),3,pos
382,:(,-3,neg
383,:((,-4,neg
384,:(((,-4,neg
385,:((((,-5,neg
386,:(((((,-5,neg
387,:((((((,-5,neg
388,:(((((((,-5,neg
389,:),3,pos
390,:)),4,pos
391,:))),4,pos
392,:)))),5,pos
393,:))))),5,pos
394,:)))))),5,pos
395,:))))))),5,pos
396,:*,5,pos
397,:-&,-2,neg
398,:-(,-4,neg
399,:-),4,pos
400,:-*,5,pos
401,:-/,-3,neg
402,:-@,-2,neg
403,:-\,-3,neg
404,:-d,2,pos
405,:-o,2,pos
406,:-p,-4,neg
407,:-s,-2,neg
408,:-|,-2,neg
409,:-},2,pos
410,:/,-2,neg
411,:3,3,pos
412,:9,4,pos
413,:[,-2,neg
414,:\,-2,neg
415,:],3,pos
416,:_(,-4,neg
417,:b),4,pos
418,:c,-4,neg
419,:d,3,pos
420,:e,-3,neg
421,:f,-3,neg
422,:o,-2,neg
423,:o(,-3,neg
424,:o),3,pos
425,:p,-4,neg
426,:s,-3,neg
427,:v,-4,neg
428,:x,-3,neg
429,:|,-2,neg
430,;(,-4,neg
431,;),4,pos
432,;)),4,pos
433,;);),4,pos
434,;o),3,pos
435,%-(,-3,neg
436,%-),3,pos
437,(-:,3,pos
438,(:,3,pos
439,(^ ^),4,pos
440,(^-^),4,pos
441,(^.^),4,pos
442,(^_^),4,pos
443,(o:,3,pos
444,(o;,3,pos
445,")"":",-5,neg
446,)-:,-3,neg
447,):,-3,neg
448,*_*,-2,neg
449,*___*,-3,neg
450,--,-3,neg
451,"--""",-4,neg
452,0:),3,pos
453,":""(",-5,neg
454,:#,-2,neg
455,:'(,-3,neg
456,:'),3,pos
457,:(,-3,neg
458,:((,-4,neg
459,:(((,-4,neg
460,:((((,-5,neg
461,:(((((,-5,neg
462,:((((((,-5,neg
463,:(((((((,-5,neg
464,:),3,pos
465,:)),4,pos
466,:))),4,pos
467,:)))),5,pos
468,:))))),5,pos
469,:)))))),5,pos
470,:))))))),5,pos
471,:*,5,pos
472,:-&,-2,neg
473,:-(,-4,neg
474,:-),4,pos
475,:-*,5,pos
476,:-/,-3,neg
477,:-@,-2,neg
478,:-\,-3,neg
479,:-d,2,pos
480,:-o,2,pos
481,:-p,-4,neg
482,:-s,-2,neg
483,:-|,-2,neg
484,:-},2,pos
485,:/,-2,neg
486,:3,3,pos
487,:9,4,pos
488,:[,-2,neg
489,:\,-2,neg
490,:],3,pos
491,:_(,-4,neg
492,:b),4,pos
493,:c,-4,neg
494,:d,3,pos
495,:e,-3,neg
496,:f,-3,neg
497,:o,-2,neg
498,:o(,-3,neg
499,:o),3,pos
500,:p,-4,neg
501,:s,-3,neg
502,:v,-4,neg
503,:x,-3,neg
504,:|,-2,neg
505,;(,-4,neg
506,;),4,pos
507,;)),4,pos
508,;);),4,pos
509,;c,-3,neg
510,;o),3,pos
511,<3,5,pos
512,<:},3,pos
513,=(,-4,neg
514,=),4,pos
515,==,-3,neg
516,=[,-4,neg
517,=],3,pos
518,@}->--,3,pos
519,^^,4,pos
520,^^V,4,pos
521,^^v,4,pos
522,^_^,4,pos
523,d:,-4,neg
524,o.o,-3,neg
525,o_o,-3,neg
526,x(,-4,neg
527,x-(,-4,neg
528,xd,2,pos
529,xo,2,pos
530,xp,-4,neg
531,}:),-4,neg
532,%-(,-3,neg
533,%-),3,pos
534,(-:,3,pos
535,(:,3,pos
536,(^ ^),4,pos
537,(^-^),4,pos
538,(^.^),4,pos
539,(^_^),4,pos
540,(o:,3,pos
541,(o;,3,pos
542,")"":",-5,neg
543,)-:,-3,neg
544,):,-3,neg
545,*_*,-2,neg
546,*___*,-3,neg
547,--,-3,neg
548,"--""",-4,neg
549,0:),3,pos
550,":""(",-5,neg
551,:#,-2,neg
552,:'(,-3,neg
553,:'),3,pos
554,:(,-3,neg
555,:((,-4,neg
556,:(((,-4,neg
557,:((((,-5,neg
558,:(((((,-5,neg
559,:((((((,-5,neg
560,:(((((((,-5,neg
561,:),3,pos
562,:)),4,pos
563,:))),4,pos
564,:)))),5,pos
565,:))))),5,pos
566,:)))))),5,pos
567,:))))))),5,pos
568,:*,5,pos
569,:-&,-2,neg
570,:-(,-4,neg
571,:-),4,pos
572,:-*,5,pos
573,:-/,-3,neg
574,:-@,-2,neg
575,:-\,-3,neg
576,:-d,2,pos
577,:-o,2,pos
578,:-p,-4,neg
579,:-s,-2,neg
580,:-|,-2,neg
581,:-},2,pos
582,:/,-2,neg
583,:3,3,pos
584,:9,4,pos
585,:[,-2,neg
586,:\,-2,neg
587,:],3,pos
588,:_(,-4,neg
589,:b),4,pos
590,:c,-4,neg
591,:d,3,pos
592,:e,-3,neg
593,:f,-3,neg
594,:o,-2,neg
595,:o(,-3,neg
596,:o),3,pos
597,:p,-4,neg
598,:s,-3,neg
599,:v,-4,neg
600,:x,-3,neg
601,:|,-2,neg
602,;(,-4,neg
603,;),4,pos
604,;)),4,pos
605,;);),4,pos
606,;c,-3,neg
607,;o),3,pos
608,<3,5,pos
609,<:},3,pos
610,=(,-4,neg
611,=),4,pos
612,==,-3,neg
613,=[,-4,neg
614,=],3,pos
615,@}->--,3,pos
616,^^,4,pos
617,^^V,4,pos
618,^^v,4,pos
619,^_^,4,pos
620,d:,-4,neg
621,o.o,-3,neg
622,o_o,-3,neg
623,x(,-4,neg
624,x-(,-4,neg
625,xd,2,pos
626,xo,2,pos
627,xp,-4,neg
628,}:),-4,neg
